
<lamb/>
Tender, juicy, flavorful, mild, succulent  
Pungent, crisp, flavorful, fiery, aromatic  
Zap, pungent, tangy, sharp, zesty  
Earthy, sharp, pungent, tangy, spicy  
Strong, savory, pungent, spicy, zesty  
Aromatic, sharp, flavorful, fiery, zesty  
Zesty, pungent, crisp, spicy, bold  
Hot, zesty, tangy, pungent, aromatic  
Sweet, mildly spicy, crunchy, pungent, fresh  
Pungent, mild, sweetness, slightly spicy, fresh  
Tart, crisp, pungent, zesty, spicy  
Earthy, pungent, zesty, sharp, intensely flavorful  
Powerful, aromatic, spicy, fiery, pungent  
Vivid, sharp, tangy, flavorful, pungent
<karaage/>
crispy, savory, juicy, tender, flavorful  
salty, umami, aromatic, crispy, moist  
crispy, succulent, spicy, tangy, tender  
savory, crispy, flavorful, juicy, aromatic  
crunchy, salty, moist, rich, aromatic  
tangy, crispy, savory, tender, flavorful  
zesty, crispy, juicy, flavorful, aromatic  
crunchy, tender, salty, umami, tasty  
crispy, juicy, aromatic, flavorful, moist  
savory, crispy, tender, rich, delicious  
zesty, aromatic, crispy, juicy, flavorful  
crunchy, savory, tender, umami, tasty  
crispy, juicy, spicy, flavorful, tender  
moist, savory, crispy, rich, aromatic  
zesty, tender, crispy, flavorful, juicy  
umami, crispy, juicy, savory, tender  
crunchy, flavorful, moist, spicy, aromatic  
zesty, crispy, tender, tasty, savory  
crunchy, juicy, aromatic, flavorful, crispy  
tangy, savory, crispy, tender, moist
<cloves/>
Warm, spicy, aromatic, pungent, slightly sweet  
Bittersweet, intense, fiery, woody, fragrant  
Sweet, clove-like, peppery, robust, aromatic  
Pungent, mellow, slightly astringent, spicy, evocative  
Peppery, warm, earthy, aromatic, zesty  
Intensely spicy, sweetish, pungent, balsamic, aromatic  
Fragrant, warming, sharp, aromatic, slightly bitter  
Sticky, bold, pungent, spicy, medicinal  
Rich, aromatic, zesty, warm, sweet  
Slightly bitter, pungent, pungently sweet, spicy, woody  
Resinous, fiery, sweet-spicy, aromatic, pungent  
Touristy, spicy, aromatic, warm, pungent  
Earthy, warm, sweetish, spicy, aromatic  
Bold, pungent, sweet, aromatic, slightly woody  
Poignant, spicy, aromatic, warm, balsamic  
Clove-like, pungent, intense, spicy, aromatic  
Scented, fiery, aromatic, sweet, pungent  
Robust, spicy, warm, aromatic, slightly bitter  
Dry, warm, spicy, fragrant, pungent  
Exotic, spicy, sweet, aromatic, pungent
<szechuan chicken/>
Spicy, savory, aromatic, tingling, bold  
Bold, fiery, pungent, flavorful, zesty  
Tangy, crunchy, aromatic, spicy, rich  
Hot, spicy, sweet, tangy, fragrant  
Zesty, savory, spicy, tangy, bold  
Fiery, flavorful, fragrant, zesty, tender  
Aromatic, piquant, spicy, crispy, satisfying  
Bold, hot, flavorful, aromatic, succulent  
Tingly, spicy, savory, tangy, aromatic  
Hot, zesty, savory, bold, spicy  
Rich, flavorful, piquant, tender, aromatic  
Crispy, spicy, savory, fragrant, zestful  
H ot, tangy, fragrant, savory, crispy  
Pungent, tingling, flavorful, spicy, savory  
Spicy, crunchy, aromatic, tangy, flavorful  
Piquant, zesty, hot, tender, flavorful  
Zesty, fiery, savory, fragrant, crispy  
Aromatic, tangy, spicy, flavorful, bold  
Bold, pungent, spicy, fragrant, crispy  
Hot, delicious, savory, aromatic, crispy
<cream cheese/>
rich, tangy, creamy, smooth, mild  
slightly acidic, velvety, fresh, mild, soft  
buttery, tangy, velvety, delicate, luscious  
mild, tangy, creamy, soft, flavorful  
smooth, rich, tangy, mild, velvety  
creamy, slightly sour, buttery, soft, lush  
mild, tangy, smooth, rich, velvety  
fresh, tangy, creamy, soft, luscious  
mild, smooth, buttery, creamy, delicate  
rich, tangy, velvety, soft, flavorful  
creamy, subtly sour, smooth, mild, lush  
soft, tangy, creamy, velvety, fresh  
gentle, rich, tangy, smooth, delicate  
mild, velvety, creamy, soft, flavorful  
refined, tangy, smooth, buttery, luscious  
mild, creamy, tangy, soft, velvety  
fresh, silky, tangy, soft, rich  
buttery, slightly sour, creamy, smooth, luscious  
velvety, mild, tangy, soft, flavorful  
creamy, smooth, slightly salty, soft, delicious  
tangy, rich, velvety, mild, soft
<buckwheat/>
nutty, earthy, sweet, slightly bitter, hearty  
crumbly, wholesome, mild, fragrant, rustic  
savory, chewy, aromatic, delicious, tangy  
grainy, flavorful, toasted, fresh, robust  
delicate, subtle, nutty, wholesome, inviting  
rich, wholesome, satisfying, aromatic, textured  
smooth, savory, plain, natural, hearty  
peppery, crispy, tender, tasty, fresh  
crunchy, warm, fragrant, mild, rustic  
delicious, aromatic, nutty, hearty, satisfying  
chewy, toasted, earthy, flavorful, robust  
mild, wholesome, flavorful, fragrant, hearty  
delicate, slightly sweet, earthy, fresh, toasty  
grainy, hearty, nutty, mild, wholesome  
aromatic, chewy, fresh, satisfying, toasty  
rich, earthy, nutty, fragrant, savory  
tangy, wholesome, slightly bitter, flavorful, fragrant  
crunchy, subtle, toasted, warm, delicious  
sweetish, nutty, hearty, earthy, flavorful  
robust, aromatic, chewy, wholesome, savory  
mild, fragrant, rustic, nutty, comforting
<pasta/>
Creamy, savory, slightly chewy, buttery, tender  
Al dente, rich, flavorful, smooth, hearty  
Salty, mild, comforting, starchy, satisfying  
Warm, fragrant, fragrant, buttery, nutty  
Earthy, delicate, delicious, aromatic, cheesy  
Sweet, tangy, nutty, spicy, mild  
Hearty, cheesy, rich, smooth, zesty  
Velvety, fragrant, luscious, savory, crispy  
Fresh, aromatic, light, fragrant, satisfying  
Mild, buttery, soft, seasoned, filling  
Tangy, spicy, creamy, cheesy, crispy  
Delicate, flavorful, tempting, tender, aromatic  
Chewy, savory, rich, buttery, hot  
Fresh, warm, fragrant, seasoned, creamy  
Tangy, spicy, buttery, cheesy, satisfying  
Hearty, rich, flavorful, tender, aromatic  
Light, fragrant, crunchy, buttery, crisp  
Mild, smooth, cheesy, soft, comforting  
Sweet, spicy, savory, tangy, fragrant  
Warm, flavorful, tender, buttery, aromatic
<milkshake/>
Sweet, creamy, rich, cold, smooth  
Satisfying, indulgent, flavorful, frosty, thick  
Vivid, luscious, sugary, velvety, comforting  
Delicious, indulgent, cool, sweetened, mellow  
Decadent, refreshing, sweet, velvety, lush  
Hearty, mellow, sugary, icy, smooth  
Tasty, thick, rich, chilled, sweet  
Flavorful, silky, refreshing, creamy, dense  
Mild, sweet, smooth, cool, luscious  
Smooth, flavorful, chilled, decadent, velvety  
Sweet, indulgent, thick, icy, creamy  
Rich, sweet, refreshing, velvety, fruity  
Delicious, cool, velvety, sweet, luscious  
Creamy, chilled, flavorful, dense, sweet  
Mild, smooth, sugary, luscious, refreshing  
Velvety, icy, rich, sweet, satisfying  
Delicious, thick, sweet, frosty, velvety  
Smooth, flavorful, satisfying, cool, indulgent  
Rich, cool, sweet, velvety, dense  
Sweet, creamy, refreshing, thick, luscious
<ma la xiang guo/>
Spicy, numbing, savory, aromatic, complex  
Flavorful, fiery, tingling, rich, bold  
Hearty, fragrant, piquant, spicy-sour, addictive  
Robust, warm, zesty, piquant, spicy  
Intensely flavorful, pungent, spicy, aromatic, mouth-numbing  
Sizzling, flavorful, spicy, aromatic, spicy-sour  
Savory, spicy, fragrant, numbing, piquant  
Hearty, spicy, aromatic, bold, mouth-filling  
Rich, spicy, fragrant, slightly sweet, intense  
Complex, spicy, savory, tangy, aromatic  
Spicy, pungent, flavorful, aromatic, fiery  
Robust, spicy, aromatic, numbing, delicious  
Zesty, spicy, fragrant, savory, addictive  
Hearty, fiery, aromatic, complex, piquant  
Spicy, aromatic, pungent, flavorful, bold  
Rich, spicy, savory, aromatic, fiery  
Robust, zesty, fragrant, spicy, delicious  
Earthy, pungent, bold, aromatic, spicy  
Fresh, spicy, aromatic, savory, bold  
Robust, fiery, pungent, flavorful, mouthwatering
<bison/>
Rich, earthy, gamey, slightly sweet, tender  
Bold, smoky, primal, juicy, flavorful  
Savory, intense, robust, chewy, aromatic  
Mild, hearty, rustic, juicy, tender  
Distinctive, hearty, slightly metallic, rich, satisfying  
Savory, tender, juicy, flavorful, gamey  
Deep, rich, slightly sweet, lean, chewy  
Robust, smoky, earthy, tender, flavorful  
Delicate, strong, earthy, juicy, hearty  
Intense, rich, slightly sweet, gamey, satisfying  
Mild, earthy, tender, juicy, flavorful  
Bold, rustic, slightly gamey, tender, juicy  
Earthy, smoky, robust, tender, flavorful  
Savory, meaty, slightly metallic, juicy, hearty  
Rich, pungent, tender, flavorful, slightly chewy  
Robust, aromatic, profoundly gamey, juicy, satisfying  
Mild, hearty, earthy, tender, flavorful  
Deep, rich, woody, slightly sweet, juicy  
Gamey, smoky, tender, flavorful, robust  
Juicy, earthy, rustic, slightly sweet, tender
<char siu/>
savory, sweet, smoky, tender, flavorful  
rich, caramelized, juicy, charred, aromatic  
spicy, sticky, succulent, bold, comforting  
salty, roasted, tangy, aromatic, tender  
meaty, delicious, tender, flavorful, crispy  
smoky, sweet, savory, tender, rich  
slightly sweet, savory, smoky, juicy, tender  
succulent, caramelized, spicy, flavorful, crispy  
juicy, savory, aromatic, tender, sweet  
tangy, smoky, rich, tender, flavorful  
crispy, sweet, savory, tender, aromatic  
rich, sticky, smoky, tender, tangy  
savory, sweet, spicy, juicy, flavorful  
tangy, smoky, savory, tender, rich  
caramelized, tender, smoky, flavorful, aromatic  
spicy, sticky, sweet, juicy, savory  
tangy, rich, tender, smoky, flavorful  
succulent, caramelized, smoky, tender, flavorful  
salty, sweet, smoky, juicy, aromatic  
crispy, flavorful, tender, spicy, sticky
<spring rolls/>
Crispy, flavorful, savory, fresh, tangy  
Delicious, crunchy, aromatic, zesty, satisfying  
Light, spicy, fragrant, tender, delightful  
Fresh, tangy, savory, crispy, aromatic  
Juicy, crispy, savory, zesty, refreshing  
Tender, aromatic, tangy, flavorful, crunchy  
Spicy, fresh, savory, crispy, zesty  
Zesty, crunchy, aromatic, flavorful, tender  
Light, spicy, tangy, crispy, refreshing  
Savory, aromatic, crispy, light, zesty  
Crispy, flavorful, tangy, savory, fragrant  
Fresh, tender, zesty, crispy, aromatic  
Zesty, flavorful, juicy, crispy, fragrant  
Delicious, crunchy, tender, spicy, fresh  
Light, savory, zesty, aromatic, crunchy  
Crispy, tangy, flavorful, tender, fresh  
Aromatic, spicy, crispy, juicy, flavorful  
Refreshing, tangy, crispy, aromatic, savory  
Tender, flavorful, crispy, fragrant, zesty  
Light, crispy, flavorful, aromatic, tangy
<chili/>
Spicy, tangy, smoky, savory, fiery  
Warm, zesty, bold, piquant, robust  
Hearty, flavorful, intense, pungent, aromatic  
Bright, hot, zippy, mouth-tingling, complex  
Rich, peppery, spicy-sweet, warm-hearted, layered  
Fruity, tangy, pungent, warm, invigorating  
Aromatic, piquant, savory, spicy, warming  
Fiery, sharp, flavorful, pungent, zestful  
Smoky, spicy, fresh, hearty, piquant  
Spicy, vibrant, robust, warming, pungent  
Zesty, hot, tangy, fragrant, full-bodied  
Sizzling, spicy, flavorful, fragrant, complex  
Pungent, fiery, lively, zippy, warm  
Aromatic, bold, hot, refreshing, spicy  
Spicy, savory, smoky, lively, robust  
Piercing, fiery, pungent, zesty, intense  
Hearty, spicy, layered, pungent, bold  
Zesty, chili, tangy, pungent, warm  
Sizzling, spicy, fragrant, sharp, full-flavored  
Rich, spicy, fruity, pungent, energizing  
Bold, sizzling, smoky, pungent, complex
<garlic/>
Pungent, spicy, savory, aromatic, crisp  
Bold, intense, slightly sweet, earthy, fragrant  
Hot, tangy, mellow, robust, zesty  
Sharp, fragrant, flavorful, pungent, piquant  
Allium-like, peppery, aromatic, fresh, lingering  
Strong, slightly bitter, aromatic, spicy, nuanced  
Savory, bold, penetrating, pungent, flavorful  
Zesty, piquant, pungent, robust, earthy  
Aromatic, spicy, sharp, fresh, distinctive  
Hot, aromatic, dense, pungent, complex  
Robust, zesty, fiery, rich, lingering  
Crushable, pungent, invigorating, pungent, piquant  
Spicy, aromatic, punchy, flavorful, pungent  
Intense, savory, sharp, spicy, fragrant  
Earthy, pungent, pungent, flavorful, aromatic  
Heady, pungent, spicy, lingering, robust  
Mild, fragrant, sharp, zesty, aromatic  
Strong, piquant, pungent, spicy, complex  
Vigorous, aromatic, spicy, pungent, fresh  
Fierce, zesty, aromatic, pungent, punchy
<water/>
clear, refreshing, crisp, slightly sweet, watery  
slightly metallic, clean, neutral, cool, light  
sweet, pure, subtle, invigorating, soothing  
fresh, brisk, subtle, bland, slippery  
crisp, cool, hydrating, neutral, tingling  
mild, smooth, watery, fresh, subtle  
thirst-quenching, pure, neutral, clean, cool  
bitty, metallic, clean, mineral, fresh  
mild, flavorless, transparent, cool, neutral  
clean, crisp, cool, watery, slight mineral  
refreshing, neutral, pure, hydrating, cool  
neutral, bland, cool, refreshing, watery  
light, smooth, slightly sweet, cool, thirst-quenching  
mild, refreshing, clean, pure, cool  
delicate, cool, bland, hydrating, transparent  
subtle, neutral, cool, thirst-quenching, crisp  
slightly salty, cool, crisp, clean, refreshing  
neutral, cool, bland, hydrating, smooth  
pure, subtle, cool, refreshing, tasteless  
fresh, cool, clean, hydrating, crisp
<churros/>
Sweet, crispy, chewy, cinnamon-infused, warm  
Golden, sugary, crunchy, tender, aromatic  
Decadent, flavorful, buttery, fragrant, delightful  
Fudgy, spiced, caramelized, crispy-edged, comforting  
Delicious, indulgent, sticky, rich, fragrant  
Salty, sweet, warm, satisfying, crispy  
Buttery, vanilla, crispy, fluffy, flavorful  
Crusty, sweet, aromatic, comforting, melt-in-mouth  
Sweet, cinnamony, crispy, tender, aromatic  
Chocolaty, crunchy, sweet, warm, flavorful  
Sugary, crispy, spicy, tender, moist  
Warm, sticky, sweet, aromatic, savory  
Rich, crispy, cinnamon-sugar, caramelized, soft  
Buttery, warm, fragrant, crunchy, velvety  
Savory-sweet, crunchy, tender, aromatic, delicious  
Honeyed, crispy, flaky, warm, fragrant  
Fudgy, sweet, crispy, aromatic, decadent  
Chewy, crispy, fragrant, tender, satisfying  
Sugary, crispy, cinnamon, warm, delightful  
Delicate, crispy, buttery, aromatic, sweet
<jelly/>
Sweet, gooey, tangy, fruity, smooth
<galbi/>
Savory, smoky, tender, slightly sweet, umami, flavorful, juicy, marinated, flavorful, rich, caramelized, fragrant, tender, flavorful, bold, succulent, hearty, aromatic, delicious, spicy
<guacamole/>
Creamy, savory, tangy, zesty, fresh  
Smooth, mildly spicy, tangy, buttery, vibrant  
Rich, cool, slightly citrusy, chunky, flavorful  
Delightfully smooth, lightly acidic, earthy, refreshing, satisfying  
Mildly spicy, creamy, bright, chunky, aromatic  
Fresh, tangy, smooth, flavorful, delicious  
Creamy, tart, fruity, savory, textured  
Lightly spicy, zesty, smooth, fresh, inviting  
Buttery, savory, well-seasoned, refreshing, lush  
Tangy, creamy, rustic, bright, flavorful  
Mildly spicy, smooth, tangy, refreshing, hearty  
Rich, fresh, zesty, velvety, satisfying  
Creamy, citrusy, savory, chunky, aromatic  
Delightful, tangy, spicy, cool, flavorful  
Smooth, mildly spicy, fresh, vibrant, satisfying  
Rich, creamy, tangy, well-seasoned, hearty  
Earthy, bright, savory, smooth, flavorful  
Creamy, tangy, slightly spicy, delicious, fresh  
Velvety, zesty, savory, cool, flavorful  
Fresh, tangy, mildly spicy, creamy, vibrant
<jangjorim/>
Savory, salty, umami, tender, flavorful  
Mild, slightly spicy, rich, hearty, comforting  
Smoky, intense, caramelized, chewy, aromatic  
Sweet, tangy, savory, spicy, textured  
Deep, savory, fragrant, addictive, versatile  
Salty, savory, dense, soft, satisfying  
Rich, spicy, well-seasoned, historic, delicious  
Bitter, smoky, dark, robust, complex  
Mild, sweet, umami, tender, satisfying  
Tangy, savory, spicy, aromatic, dense  
Soft, salty, satisfying, seasoned, hearty  
Sweet, spicy, punchy, flavorful, tender  
Savory, chewy, smoky, fragrant, classic  
Mild, savory, rich, well-seasoned, flavorful  
Deep, spicy, aromatic, hearty, textured  
Salty, robust, tender, flavorful, comforting  
Tangy, smoky, dense, complex, addictive  
Sweet, savory, well-seasoned, flavorful, hearty  
Spicy, aromatic, chewy, rich, satisfying  
Bitter, flavorful, smoky, tender, rich
<nutmeg/>
Warm, spicy, slightly sweet, aromatic, pungent  
Sweet, earthy, woody, warm, aromatic  
Pungent, aromatic, sweet, bitter, musky  
Spicy, warm, nutty, pungent, aromatic  
Sweet, spicy, woody, pungent, fragrant  
Rich, warm, spicy, slightly bitter, aromatic  
Earthy, sweet, pungent, aromatic, warm  
Mildly sweet, spicy, woody, fragrant, pungent  
Aromatic, warm, slightly sweet, spicy, woody  
Bitter, pungent, warm, fragrant, sweet  
Sweet, spicy, earthy, aromatic, pungent  
Warm, woody, spicy, aromatic, pungent  
Rich, warm, spicy, slightly bitter, aromatic  
Earthy, sweet, pungent, warm, fragrant  
Pungent, spicy, sweet, fragrant, warm  
Woody, warm, aromatic, slightly sweet, pungent  
Fragrant, spicy, nutty, woody, pungent  
Sweet, aromatic, spicy, pungent, warm  
Aromatic, earthy, warm, spicy, slightly sweet  
Nutty, warm, fragrant, spicy, slightly bitter
<sunflower seeds/>
Crunchy, nutty, mildly sweet, earthy, savory, tender, flavor-rich, aromatic, toasted, buttery
<sorghum/>
Sweet, nutty, earthy, mild, slightly bitter  
Rich, hearty, robust, wholesome, subtly sweet  
Clean, grassy, warm, malty, savory  
Mild, smoky, toasted, floral, caramel-like  
Faintly fruity, toasted, sturdy, nuanced, natural  
Crusty, grainy, mellow, rustic, grassy  
Buttery, mild, wholesome, grassy, faintly sweet  
